id;parameter_type;description;display_value;last_modified;last_modified_by;created_by;created_on;is_deleted
1;EXECUTIVE_TITLE;Ameliorated methodologies;systematic optical management;2022-08-04T23:25:19;Architect;microchip Bedfordshire Checking;2022-08-04T21:19:14;true
2;MEASURING_UNIT;overriding Aruban;navigating;2022-08-04T17:17:25;Borders;Checking;2022-08-05T03:36:06;false
3;EXECUTIVE_TITLE;deliverables Technician;Versatile ROI;2022-08-05T04:38:18;Berkshire Card;cross-platform;2022-08-05T07:15:41;false
4;RELIGION;deposit;Credit;2022-08-05T03:22:36;Cotton;sticky Beauty;2022-08-04T22:43:56;false
5;ACCOUNT;Metal PCI Focused;back-end vertical;2022-08-04T16:46:21;Sleek Hat;web-enabled optimal;2022-08-04T19:57:27;false
6;ACCOUNT;parse;Shirt copying;2022-08-04T09:52:09;New;Connecticut Customizable;2022-08-05T05:41:33;true
7;ACCOUNT;Avon Arizona;infrastructures ROI;2022-08-04T22:03:38;24/365 Reactive;York;2022-08-05T08:33:02;false
8;RESOLUTION;Practical;Liaison Florida;2022-08-04T20:35:43;lime Tasty;Incredible;2022-08-05T02:19:31;true
9;BELONGING;Markets;Interactions deposit;2022-08-05T02:47:55;Road navigating Manat;Eritrea indigo integrated;2022-08-04T15:23:43;true
10;BELONGING;virtual Licensed turquoise;Beauty;2022-08-05T05:54:09;Borders TCP Spain;Ergonomic Fields;2022-08-05T09:15:02;false
