id;permission_name;description;last_modified;last_modified_by
1;Chips Product;Grocery empower;2022-08-04T18:00:53;Berkshire
2;backing Plastic Associate;payment;2022-08-04T13:16:56;Guarani
3;payment Steel Re-engineered;generate back Pants;2022-08-05T03:29:57;Cambridgeshire Carolina
4;invoice;Health;2022-08-04T16:37:47;Computer Legacy
5;Stravenue transmitter e-commerce;Fish optimize streamline;2022-08-05T00:09:13;pink Dollar syndicate
6;silver payment;digital Executive;2022-08-05T01:13:57;Business-focused Michigan
7;Streets Web;Investment;2022-08-05T05:27:36;Avon Shirt Fresh
8;Ergonomic Rhode Crest;Granite;2022-08-05T04:38:04;RAM programming pixel
9;Illinois Implemented;Computers Manager;2022-08-05T04:04:52;Louisiana
10;Automotive;Sports Concrete;2022-08-04T17:59:05;Producer 24/7 California
